Name	Rarity	Ability	Power	Defense	Image
Crypto CEX Trader	Uncommon	Force your opponent to discard 1 card of their choice from their hand. If they cannot, they lose 5 points.	5	7	1.webp
Bitcoin Billionaire	Rare	Double your score for the next 2 turns. If you lose a turn, your score resets to the original value.	10	5	2.webp
Crypto Trader	Uncommon	Draw an extra card from your deck this turn. If the card is of higher rarity than your opponent's next card, gain 10 points.	5	6	3.webp
Frog On The Moon 	Rare	Double the effect of your next card. If the card is blocked, deal 5 damage to an opponent's card.	10	5	4.webp
Wildlife Photographer	Uncommon	Reveal your opponent's next card before they play it. If it has more power than your next card, draw one card.	6	8	5.webp
Mountain Man	Rare	Gain +5 defense points against all environmental-themed attacks. If none are played, gain 10 points.	10	9	6.webp
Living in a Van	Common	Draw an extra card at the start of your next turn. If the drawn card is of the same rarity, gain 5 points.	8	4	7.webp
Survivor	Rare	Negate the effect of an opponent's attack card for one turn. If you win that turn, gain 5 defense.	6	7	8.webp
Broke Trader	Common	Discard one of your own cards to draw two new ones. If both new cards have lower defense than the discarded one, lose 5 points.	8	6	9.webp
FOMO Monkey	Uncommon	Force both players to draw two additional cards. Skip your next turn and lose 3 defense if your new cards are weaker than your opponent's.	5	5	10.webp
Bitcoin Wave Surfer	Rare	Double your score for the next two rounds, but skip your card draw in the next round and lose 5 defense.	8	8	11.webp
Wrecked by the Wave	Common	Lose half your points immediately, but draw two cards in the next round. Gain 3 defense if one of the drawn cards is stronger.	8	6	12.webp
Degen Trader	Uncommon	Swap your hand with your opponent's for one turn. If the swapped hand contains higher defense cards, lose 5 points.	4	7	13.webp
Monkey Business	Rare	Force your opponent to skip their next draw phase. If they have no cards to draw, gain 10 defense.	8	5	14.webp
Alpha Friend	Uncommon	Reveal the top three cards of your deck and choose one to add to your hand. If it's a Rare or higher card, gain 10 defense.	6	7	15.webp
All Time High	Epic	Double your current points and draw an additional card. If the card has less defense than your average, lose 5 points.	8	6	16.webp
All Time Low	Rare	Reduce your opponent's points by half. If their defense is higher, lose 5 points.	6	8	17.webp
Evading the Bears	Uncommon	Negate the effect of your opponent's attack card for the next turn. If successful, gain 5 defense.	4	9	18.webp
Riding the Bull	Rare	Increase your points by 20% for the next three turns. Lose 5 defense if any card in your hand has less than 5 defense.	6	8	19.webp
Riding the Moon Rocket	Epic	Triple your points for the next turn, but discard half your hand afterward. Each discarded card reduces your defense by 1.	9	6	20.webp
Angel Wings	Rare	Prevent any damage to your points for the next two turns. If the opponent attacks and fails, gain 5 defense.	6	8	21.webp
Drum Lord	Uncommon	Force your opponent to reveal their entire hand. If they have no cards left, gain 5 defense.	6	7	22.webp
The Dark Knight	Rare	Immune to all attacks for one round. Gain 10 points if no cards can bypass this defense.	6	8	23.webp
Impressionist Painter	Uncommon	Create a copy of one opponent's card. The copied card's power is halved but gains 5 defense.	4	6	24.webp
Squiggle Time	Common	Shuffle your hand and redraw. Gain 5 points if the total defense of the new hand is higher than the old one.	8	6	25.webp
PEW PEW Mafia	Rare	Attack two random opponent cards. Each attacked card loses 15 points if its defense is lower than 8.	6	7	26.webp
The WolfPac	Epic	Summon two WolfPac members. Each adds 20 points to your total score and provides 3 defense to your next card.	6	9	27.webp
Pixel World	Common	Pixelate an opponent's card, reducing its power by 10 points. If the card’s defense is less than 5, remove it from play.	6	5	28.webp
Golden Sheep	Rare	Convert one opponent's card into a golden sheep, rendering it powerless for one turn. If it has more defense than 5, gain 10 points.	6	7	29.webp
Fantasy Player	Uncommon	Draw an extra card. If it's a fantasy card, gain 10 points and 3 defense.	5	8	30.webp
Night Owl	Rare	Play this card at night for double points. Gain 15 points and 5 defense.	10	7	31.webp
Bitcoin Surgeon	Epic	Perform surgery on a damaged card. Restore 20 points to any one of your cards and add 3 defense.	6	9	32.webp
Cowboy	Uncommon	Lasso an opponent's card, preventing it from being played next turn. Gain 5 defense if the card is an Epic or higher.	4	8	33.webp
WOW Pro	Epic	Double the power of any fantasy or gaming-related card in your hand for one turn. If the card wins, gain 5 defense.	10	7	34.webp
Disco Dancer	Common	Distract an opponent, reducing their next card's power by 10 points. Gain 3 defense if the card's power falls below 5.	6	5	35.webp
Rap God	Rare	Spit a verse that silences an opponent's card, preventing it from being played for one turn. Gain 5 defense if the card has 8 power or more.	6	6	36.webp
Food Fluencer	Uncommon	Boost the power of one of your food or lifestyle cards by 15 points. If it reaches 20 points, gain 3 defense.	4	7	37.webp
Whitehouse Correspondent	Rare	Gain insider information. Draw two cards and keep the one with the highest power. If the kept card has higher defense than the opponent’s next card, gain 10 points.	8	6	38.webp
Arabic Prince	Epic	Spend wealth to gain power. Double the points of any wealth-related card in your hand. If the card has higher defense, gain 5 points.	10	8	39.webp
Bitcoin Farmer	Common	Harvest 5 points for every Bitcoin-related card in your hand. Gain 3 defense if you have more than two.	6	5	40.webp
Broke and Homeless	Common	Lose 10 points, but draw an additional card as a comeback opportunity. Gain 3 defense if the card is Rare or higher.	8	6	41.webp
Michelangelo's Painting	Rare	Restore 15 points to any art or culture-related card. Gain 5 defense if the card is a Legendary.	6	6	42.webp
Satoshi Nakamoto	Legendary	Reveal the truth. Select any one card from the deck and add it to your hand. If it's an Epic or higher, gain 10 defense.	9	8	43.webp
Tornado Cash	Epic	Mix up the battlefield. Shuffle all cards in play and redistribute them randomly. Gain 5 defense if an opponent’s card is removed.	6	7	44.webp
Dante's Paradise	Legendary	Ascend to glory. Gain 25 points and draw an additional card. Gain 5 defense if the card is a Rare or higher.	8	8	45.webp
MIB	Epic	Flash the Neuralyzer. Opponent's last card played is returned to their hand. Gain 5 defense if that card is Rare or higher.	6	8	46.webp
Samurai	Rare	Strike with honor. Increase your next card's power by 20 points and gain 5 defense.	6	7	47.webp
Ninja	Rare	Stealth attack. Remove one of your opponent's cards from play for one turn. If successful, gain 5 defense.	6	6	48.webp
PacWorld	Common	Consume and conquer. Gain 10 points for every 'Pac' or gaming-related card in your hand. Gain 3 defense if more than one card matches.	6	5	49.webp
Archeologist Jones	Epic	Unearth secrets. Draw two cards and choose the one with the higher rarity. Gain 5 defense if the card is Legendary.	8	7	50.webp
Basketball Star	Uncommon	Slam dunk. Gain 15 points and block an opponent's next move. Gain 5 defense if the block is successful.	4	8	51.webp
Golf Champion	Common	Perfect swing. Add 10 points to your score. Gain 3 defense if your score surpasses your opponent's.	6	4	52.webp
Queen's Knight	Rare	Defend the realm. Block one opponent's card for the next turn. Gain 5 defense if it's a Rare card.	6	7	53.webp
WW2 Soldier	Rare	Call to arms. Increase all military-themed cards' power by 15 points. Gain 3 defense for every card boosted.	6	8	54.webp
Modern Warfare Soldier	Uncommon	Deploy tactics. Draw an extra card if your opponent has more cards in hand than you. Gain 5 defense if the drawn card is a higher rarity.	5	6	55.webp
Manga Character	Common	Unleash anime power. Boost your next card's power by 10 points. Gain 3 defense if the power boost wins a round.	6	5	56.webp
Virtual Reality	Uncommon	Immerse and dominate. Opponent's next card's power is reduced by 15 points. Gain 3 defense if their card's power drops below 5.	4	7	57.webp
Dog Walker	Common	Fetch an extra card from the deck. Gain 3 defense if the fetched card has more than 5 defense.	6	4	58.webp
Flight Pioneer	Rare	Soar above. Gain 20 points and skip your opponent's next turn. Gain 5 defense if the opponent's next card is an Epic or higher.	6	8	59.webp
The Kaiju are in Town	Epic	Unleash destruction. Double the power of your next monster-themed card. Gain 5 defense if the card's power exceeds 15.	10	6	60.webp
Roman Emperor	Legendary	Rule with an iron fist. Gain control of your opponent's next move. Gain 10 defense if the controlled card has 8 defense or more.	6	9	61.webp
Bitcoin Miner	Common	Mine for wealth. Gain 5 points for every Bitcoin-related card in play. Gain 3 defense if more than two cards match.	6	5	62.webp
Cat Lover	Common	Cuddle up. Draw an extra card if you have an animal-themed card in play. Gain 3 defense if it's a Rare card.	8	5	63.webp
Gold Skier	Uncommon	Glide to victory. Gain 15 points and prevent your opponent from drawing a new card. Gain 5 defense if they fail to draw.	5	6	64.webp
Pro Cyclist	Uncommon	Pedal hard. Gain 15 points if you play another sports-related card next. Gain 3 defense if the card's power is over 8.	4	7	65.webp
French Revolutionaire	Rare	Lead the charge. Swap one of your cards with an opponent's card of your choice. Gain 5 defense if the swapped card is a Rare or higher.	6	7	66.webp
Cave Man	Common	Go back to basics. Gain 10 points and skip your opponent's next turn. Gain 3 defense if they cannot counter.	6	4	67.webp
War of Independence	Rare	Fight for freedom. Double the power of any historical-themed card in play. Gain 5 defense if the card wins.	10	7	68.webp
Roman Legionaire	Uncommon	March forward. Gain 10 points for each warrior or soldier-themed card in play. Gain 3 defense if more than one matches.	4	6	69.webp
