Name	Rarity	Ability	Power	Coin	Image
Crypto CEX Trader	Uncommon	Force your opponent to discard 1 card of their choice from their hand,	5	3	1.webp
Bitcoin Billionaire	Rare	Double your coin rewards for the next 2 turns,	10	3	2.webp
Crypto Trader	Uncommon	Draw an extra card from your deck this turn,	5	2	3.webp
Frog On The Moon 	Rare	Double the effect of your next card,	10	3	4.webp
Wildlife Photographer	Uncommon	Reveal your opponent's next card before they play it,	6	1	5.webp
Mountain man	Rare	Gain +5 defense points against all environmental attacks,	10	2	6.webp
Living in a Van	Common	Draw an extra card at the start of your next turn,	8	2	7.webp
Survivor	Rare	Negate the effect of an opponent’s attack card for one turn,	6	3	8.webp
Broke Trader	Common	Discard one of your own cards to draw two new ones,	8	2	9.webp
FOMO Monkey	Uncommon	Force both players to draw two additional cards. Skip your next turn,	5	2	10.webp
Bitcoin wave surfer	Rare	Gain the ability to double your points for the next two rounds, but skip your card draw in the next round,	8	3	11.webp
Wrecked by the wave	Common	Lose half your points immediately, but draw two cards in the next round,	8	2	12.webp
Degen Trader	Uncommon	Swap your hand with your opponent's for one turn,	4	1	13.webp
Monkey Business	Rare	Force your opponent to skip their next draw phase,	8	2	14.webp
Alpha Friend	Uncommon	Reveal the top three cards of your deck and choose one to add to your hand,	6	1	15.webp
All time High	Epic	Double your current points and draw an additional card,	8	3	16.webp
All time Low	Rare	Reduce your opponent’s points by half,	6	1	17.webp
evading the bears	Uncommon	Negate the effect of your opponent’s attack card for the next turn,	4	3	18.webp
riding the bull	Rare	Increase your points by 20% for the next three turns,	6	1	19.webp
riding the moon rocket	Epic	Triple your points for the next turn, but discard half your hand afterward,	9	3	20.webp
Angel wings	Rare	Prevent any damage to your points for the next two turns,	6	1	21.webp
Drum Lord	Uncommon	Force your opponent to reveal their entire hand,	6	1	22.webp
The Dark knight	Rare	Immune to all attacks for one round. Gain 10 points,	6	2	23.webp
impressionist painter	Uncommon	Create a copy of one opponent's card. The copied card's power is halved,	4	1	24.webp
Squiggle time	Common	Shuffle your hand and redraw. Gain 5 points,	8	2	25.webp
PEW PEW Mafia	Rare	Attack two random opponent cards. Each attacked card loses 15 points,	6	3	26.webp
The WolfPac	Epic	Summon two WolfPac members. Each adds 20 points to your total score,	6	1	27.webp
Pixel World	Common	Pixelate an opponent's card, reducing its power by 10 points,	6	1	28.webp
Golden Sheep	Rare	Convert one opponent's card into a golden sheep, rendering it powerless for one turn,	6	1	29.webp
Fantasy Player	Uncommon	Draw an extra card. If it's a fantasy card, gain 10 points,	5	2	30.webp
Night Owl	Rare	Play this card at night for double points. Gain 15 points,	10	3	31.webp
Bitcoin Surgeon	Epic	Perform surgery on a damaged card. Restore 20 points to any one of your cards,	6	1	32.webp
Cowboy	Uncommon	Lasso an opponent's card, preventing it from being played next turn.	4	1	33.webp
WOW Pro	Epic	Double the power of any fantasy or gaming-related card in your hand for one turn,	10	3	34.webp
Disco Dancer	Common	Distract an opponent, reducing their next card's power by 10 points,	6	1	35.webp
Rap God	Rare	Spit a verse that silences an opponent's card, preventing it from being played for one turn,	6	1	36.webp
Food Fluencer	Uncommon	Boost the power of one of your food or lifestyle cards by 15 points,	4	1	37.webp
Whitehouse Correspondant	Rare	Gain insider information. Draw two cards and keep the one with the highest power,	8	2	38.webp
Arabic Prince	Epic	Spend wealth to gain power. Double the points of any wealth-related card in your hand,	10	3	39.webp
Bitcoin Farmer	Common	Harvest 5 points for every Bitcoin-related card in your hand,	6	1	40.webp
Broke and Homeless	Common	Lose 10 points, but draw an additional card as a comeback opportunity,	8	2	41.webp
Michelangelo's Painting	Rare	Restore 15 points to any art or culture-related card,	6	1	42.webp
Satoshi Nakamoto	Legendary	Reveal the truth. Select any one card from the deck and add it to your hand,	9	1	43.webp
Tornado Cash	Epic	Mix up the battlefield. Shuffle all cards in play, and redistribute them randomly,	6	1	44.webp
Dante's Paradise	Legendary	Ascend to glory. Gain 25 points and draw an additional card,	8	2	45.webp
MIB	Epic	Flash the Neuralyzer. Opponent's last card played is returned to their hand,	6	1	46.webp
Samurai	Rare	Strike with honor. Increase your next card's power by 20 points,	6	1	47.webp
Ninja	Rare	Stealth attack. Remove one of your opponent's cards from play for one turn,	6	3	48.webp
PacWorld	Common	Consume and conquer. Gain 10 points for every 'Pac' or gaming-related card in your hand,	6	2	49.webp
Archeologist Jones	Epic	Unearth secrets. Draw two cards and choose the one with the higher rarity,	8	2	50.webp
Basketball Star	Uncommon	Slam dunk. Gain 15 points and block an opponent's next move,	4	2	51.webp
Golf Champion	Common	Perfect swing. Add 10 points to your score,	6	1	52.webp
Queen's Knight	Rare	Defend the realm. Block one opponent's card for the next turn,	6	1	53.webp
WW2 Soldier	Rare	Call to arms. Increase all military-themed cards' power by 15 points,	6	1	54.webp
Modern Warfare Soldier	Uncommon	Deploy tactics. Draw an extra card if your opponent has more cards in hand than you.	5	2	55.webp
Manga Character	Common	Unleash anime power. Boost your next card's power by 10 points,	6	1	56.webp
Virtual Reality	Uncommon	Immerse and dominate. Opponent's next card's power is reduced by 15 points,	4	1	57.webp
Dog Walker	Common	Fetch an extra card from the deck.	6	1	58.webp
Flight Pioneer	Rare	Soar above. Gain 20 points and skip your opponent's next turn,	6	2	59.webp
The Kaiju are in Town	Epic	Unleash destruction. Double the power of your next monster-themed card,	10	3	60.webp
Roman Emperor	Legendary	Rule with an iron fist. Gain control of your opponent's next move,	6	2	61.webp
Bitcoin Miner	Common	Mine for wealth. Gain 5 points for every Bitcoin-related card in play,	6	2	62.webp
Cat Lover	Common	Cuddle up. Draw an extra card if you have an animal-themed card in play,	8	2	63.webp
Gold Skier	Uncommon	Glide to victory. Gain 15 points and prevent your opponent from drawing a new card,	5	2	64.webp
Pro Cyclist	Uncommon	Pedal hard. Gain 15 points if you play another sports-related card next,	4	2	65.webp
French Revolutionaire	Rare	Lead the charge. Swap one of your cards with an opponent's card of your choice,	6	1	66.webp
Cave Man	Common	Go back to basics. Gain 10 points and skip your opponent's next turn,	6	2	67.webp
War of Indipendence	Rare	Fight for freedom. Double the power of any historical-themed card in play,	10	3	68.webp
Roman Legionaire	Uncommon	March forward. Gain 10 points for each warrior or soldier-themed card in play,	4	2	69.webp
Light Saber Battle	Epic	Unleash the force. Disable your opponent's highest-powered card for one turn,	6	1	70.webp
Jurassic Park	Legendary	Release the dinosaurs. Destroy one of your opponent's cards permanently,	6	3	71.webp
Mission Impossible	Epic	Complete the impossible. Draw two cards and choose the one with higher power,	8	2	72.webp
Ballet Dancer	Common	Graceful movement. Gain 10 points and draw one additional card,	8	2	73.webp
WW2 Parachuter	Uncommon	Surprise attack. Swap one card from your hand with an opponent's card,	4	3	74.webp
War Refugee	Rare	Survive and adapt. Gain 15 points and skip your opponent's next turn,	6	2	75.webp
African Tribe Woman	Common	Strength of tradition. Gain 10 points if you play a culture-related card next,	6	2	76.webp
oil Worker	Uncommon	Drill deep. Gain 20 points if you play an energy-related card next,	4	2	77.webp
Ship Captain	Rare	Command the seas. Gain control of your opponent's next move,	6	2	78.webp
French Noble	Epic	Power and prestige. Double the power of your next card,	10	3	79.webp
Dante Alighieri	Legendary	Journey through the divine. Draw three cards and choose one to keep,	8	2	80.webp
Broke and delusional	Common	False hope. Gain 5 points but lose your next turn,	6	2	81.webp
New York Tourist	Common	City wanderer. Gain 10 points if you play another city-related card next.	6	2	82.webp
Parisien	Common	Style and charm. Add 10 points to your score,	6	1	83.webp
London Tourist	Common	Foggy adventure. Draw one card if you play a weather-related card next,	8	2	84.webp
Berlin Tourist	Common	Historic journey. Gain 10 points for every history-related card in play,	6	2	85.webp
Rome Tourist	Common	Explore the ancient city. Draw an extra card if you play a historical figure card next.	8	2	86.webp
The Medici Family	Legendary	Boost your influence. Gain control of one opponent's card for one turn,	6	2	87.webp
Bitcoin Shower	Rare	Rain of wealth. Gain 25 points and prevent your opponent from playing their next card,	6	2	88.webp
Anarco Revolutionist	Epic	Overthrow the system. Swap your hand with your opponent's,	6	1	89.webp
Sand Worm rider	Legendary	Master of the dunes. Double the power of any desert-related card in play.	10	3	90.webp
Lisbon Tourist	Common	Discover the city. Gain 10 points if you play a landmark-related card next.	6	2	91.webp
Fellowship of the ring	Legendary	United we stand. Combine the power of all your cards for one powerful attack.	6	3	92.webp
School of Magic	Epic	Learn the arcane arts. Draw two cards and gain 20 points.	8	2	93.webp
The Pharaoh	Legendary	Rule the ancient world. Gain control of your opponent's next two moves.	6	2	94.webp
The Influencer	Rare	Shape opinions. Double the effect of your next social media-related card.	10	3	95.webp
Sports Car enthusiast	Common	Speed thrills. Gain 15 points and draw one additional card.	8	2	96.webp
F16 Pilot	Epic	Supersonic strike. Gain 30 points and disable your opponent's next move.	6	2	97.webp
F1 Pilot	Rare	Racing ahead. Gain 20 points and draw one additional card.	8	2	98.webp
MotoGP Pilot	Rare	High-speed chase. Gain 20 points and block an opponent's next move.	6	2	99.webp
MX Pilot	Common	Off-road challenge. Gain 15 points if you play a vehicle-related card next.	6	2	100.webp
Underground Safehouse	Epic	Hidden refuge. Protect all your cards from opponent's attacks for one turn.	6	3	101.webp
Police Officer	Common	Law enforcement. Gain 10 points and prevent your opponent from drawing a new card.	8	2	102.webp
Drug Bust	Rare	Major operation. Remove one of your opponent's cards from play permanently.	6	1	103.webp
The Chemical	Uncommon	Explosive reaction. Gain 15 points and draw an additional card.	5	2	104.webp
Radioactive Zone	Epic	Dangerous territory. Disable one of your opponent's cards for the rest of the game.	6	1	105.webp
Space Explorer	Legendary	Journey beyond. Gain 30 points and draw three cards.	8	2	106.webp
Muhammad	Legendary	Prophetic wisdom. Swap one card with your opponent and gain 25 points.	6	2	107.webp
Beijing Tourist	Common	Cultural immersion. Gain 10 points if you play an Asia-related card next.	6	2	108.webp
Moscow Tourist	Common	Explore the Red Square. Gain 10 points and draw an additional card.	8	2	109.webp
Amsterdam Tourist	Common	Canal adventure. Gain 10 points if you play a water-related card next.	6	2	110.webp
Buenos Aires Tourist	Common	Tango in the streets. Gain 10 points if you play a dance-related card next.	6	2	111.webp
Vietnam Tourist	Common	War-torn history. Gain 10 points for every war-related card in play.	6	2	112.webp
Mexico Tourist	Common	Explore the ruins. Gain 10 points if you play an ancient civilization card next.	6	2	113.webp
Vietnam War	Epic	Guerrilla tactics. Remove one of your opponent's cards from play permanently.	6	1	114.webp
Ukrainian War	Rare	Defend the homeland. Gain 20 points and block your opponent's next move.	6	2	115.webp
Chile Tourist	Common	Andes adventure. Gain 10 points if you play a mountain-related card next.	6	2	116.webp
Galapagos Tourist	Common	Nature's wonders. Gain 10 points if you play an animal-related card next.	6	2	117.webp
Construction Builder	Common	Build the future. Gain 10 points and draw an additional card.	8	2	118.webp
Free Climber	Rare	Defy gravity. Gain 20 points and block your opponent's next move.	6	2	119.webp
Skydiver	Uncommon	Leap of faith. Gain 15 points and draw an additional card.	5	2	120.webp
Rio De Janeiro Tourist	Common	Carnival spirit. Gain 10 points if you play a music-related card next.	6	2	121.webp
Rolex Collector	Rare	Time is money. Gain 20 points and prevent your opponent from drawing a new card.	8	2	122.webp
Relaxing Italian Countryside	Common	La dolce vita. Gain 10 points and draw an additional card.	8	2	123.webp
Thailand Tourist	Common	Tropical paradise. Gain 10 points if you play a beach-related card next.	6	2	124.webp
Dante's Inferno	Legendary	Journey through hell. Remove one of your opponent's cards permanently.	6	1	125.webp
High Stakes Player	Epic	Gamble everything. Double your points, but lose half if you lose the next round.	10	3	126.webp
poorest in the world	Rare	Nothing to lose. Draw two additional cards but lose 10 points.	8	2	127.webp
Moses Cappuccino	Legendary	Part the waters. Swap one of your cards with any card from the discard pile.	9	3	128.webp
Spartan Warrior	Epic	Hold the line. Gain 25 points and block your opponent's next two moves.	6	2	129.webp
Skateboarder	Common	Trick master. Gain 10 points and draw one additional card.	8	2	130.webp
Back From the Future	Legendary	Time travel. Reverse the last move made by your opponent.	6	1	131.webp
Skylining	Rare	High altitude. Gain 20 points and block your opponent's next move.	6	2	132.webp
